trialJobId,default,-latency,-dram,search_k,recall,n_trees
CJfsX,-0.09862395122104223,-0.7426956494649252,-2095.0481770833335,200,0.4459083333333333,40
vGTBj,-0.08035895728111268,-0.9484706521034241,-2090.4482421875,300,0.49335833333333334,40
jCjhh,-0.06872130648401051,-1.055425266424815,-2090.5992838541665,400,0.5244416666666666,40
Tgzio,-0.05834476988686458,-1.1574716170628865,-2086.796875,500,0.550525,40
XNw3C,-0.051453225013944844,-1.3483779629071553,-2111.2994791666665,600,0.5779583333333334,40
bUBSh,-0.03970270147747466,-1.4640350739161174,-2098.1142578125,700,0.6038500000000001,40
AY8pA,-0.03237552119043138,-1.5960217515627544,-2098.99609375,800,0.6231749999999999,40
ipW5Y,-0.026442961602740817,-1.7086414297421773,-2111.583984375,900,0.6432916666666665,40
t58YW,-0.020488535323672823,-1.8125271399815877,-2103.6233723958335,1000,0.6570166666666667,40
V3Q6W,-0.004362886409759528,-2.441499352455139,-2117.6783854166665,1500,0.7106750000000001,40
KhWpz,0.004351121524175022,-2.9830538630485535,-2126.1458333333335,2000,0.7429666666666668,40
JVATq,0.013631672519048054,-3.512349784374237,-2112.2294921875,2500,0.7691083333333332,40
vQakD,0.01796962343851727,-4.0413641929626465,-2113.4651692708335,3000,0.7886249999999998,40
NCVxw,0.02085172675874497,-4.520289142926534,-2123.3356119791665,3500,0.8063583333333333,40
ZKLCu,0.02249359891043769,-5.088959415753682,-2126.8636067708335,4000,0.8204833333333332,40
fCcHI,0.024857255673938317,-5.530732373396556,-2127.4879557291665,4500,0.8335500000000001,40
knLPB,0.02443742482821146,-6.042915999889374,-2135.0133463541665,5000,0.84315,40
oQUrD,0.021042058998743684,-6.732001483440399,-2151.3248697916665,5500,0.8511833333333332,40
IXzr5,0.025219637432098402,-7.087482333183289,-2125.0042317708335,6000,0.8588499999999999,40
RvW2E,0.0217732725344764,-7.556232233842214,-2152.2138671875,6500,0.86665,40
PVWnq,0.022561919243070817,-8.089349488417307,-2137.7386067708335,7000,0.87265,40
aKpXe,0.022481629790200127,-8.482008079687754,-2131.9986979166665,7500,0.8765833333333334,40
RFi2c,0.020718917189704054,-8.942614157994589,-2134.658203125,8000,0.8809166666666667,40
